Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Actual end),Campo personalizado (Actual start),Campo personalizado (Aprobaciones),Campo personalizado (Change reason),Campo personalizado (Change risk),Campo personalizado (Change type),Campo personalizado (Epic Color),Campo personalizado (Epic Name),Campo personalizado (Epic Status),Campo personalizado (Formularios abiertos),Campo personalizado (Formularios bloqueados),Campo personalizado (Formularios enviados),Campo personalizado (Impact),Campo personalizado (Issue color),Campo personalizado (Metas),Campo personalizado (Project overview key),Campo personalizado (Project overview status),Campo personalizado (Proyecto),Campo personalizado (Rank),Campo personalizado (Request Type),Campo personalizado (Sentiment),Campo personalizado (Start date),Campo personalizado (Story Points),Campo personalizado (Story point estimate),Campo personalizado (Target end),Campo personalizado (Target start),Campo personalizado (Team),Campo personalizado (Total de formularios),Campo personalizado (Vulnerability),Campo personalizado (Vulnerability),Campo personalizado ([CHART] Date of First Response),Campo personalizado ([CHART] Time in Status),Campo personalizado (development),Campo personalizado (Áreas de enfoque),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
Frontend,AMFAR-42,10424,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:18 AM,26/may/26 10:18 AM,,,,0,"* Crear vista mis alumnos
* Mostrar horarios
* Mostrar instrumentos
* Consumir endpoint
* Bloquear módulos administrativos",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,3600,3600,,0 %,3600,3600,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@19fd7fb6,,,,,,,,,,,,,,,,0|i000zb:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:18 AM,10400,AMFAR-18,HU-12 Consulta de alumnos por profesor
Backend,AMFAR-41,10423,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:18 AM,26/may/26 10:18 AM,,,,0,"* Crear endpoint alumnos por profesor
* Filtrar por profesor autenticado
* Retornar horarios e instrumentos",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,7200,7200,,0 %,7200,7200,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@106b7f22,,,,,,,,,,,,,,,,0|i000z3:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:18 AM,10400,AMFAR-18,HU-12 Consulta de alumnos por profesor
Frontend,AMFAR-40,10422,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:17 AM,26/may/26 10:17 AM,,,,0,"* Crear calendario visual
* Mostrar clases programadas
* Implementar filtros
* Mostrar detalle de clase
* Optimizar carga visual",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,10800,10800,,0 %,10800,10800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@75517dc8,,,,,,,,,,,,,,,,0|i000yv:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:17 AM,10399,AMFAR-17,HU-11 Consulta de calendario académico
Backend,AMFAR-39,10421,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:17 AM,26/may/26 10:18 AM,,,,0,"* Crear endpoint calendario
* Implementar filtros:
** profesor
** alumno
** instrumento
** fecha
* Optimizar consultas
* Validar permisos",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,18000,18000,,0 %,18000,18000,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@749dba0,,,,,,,,,,,,,,,,0|i000yn:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:17 AM,10399,AMFAR-17,HU-11 Consulta de calendario académico
Frontend,AMFAR-38,10420,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:16 AM,26/may/26 10:17 AM,,,,0,"* Crear vista recibo
* Crear botón imprimir
* Crear historial recibos
* Mostrar datos completos
* Descargar/imprimir PDF",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,7200,7200,,0 %,7200,7200,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20e55821,,,,,,,,,,,,,,,,0|i000yf:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:16 AM,10398,AMFAR-16,HU-10 Generación e impresión de recibos
Backend,AMFAR-37,10419,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:16 AM,26/may/26 10:16 AM,,,,0,"* Crear tabla RECIBO
* Generar numeración secuencial
* Generar datos del recibo
* Relacionar pago-recibo
* Permitir reimpresión
* Generar PDF (opcional)",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,10800,10800,,0 %,10800,10800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3b3c523b,,,,,,,,,,,,,,,,0|i000y7:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:16 AM,10398,AMFAR-16,HU-10 Generación e impresión de recibos
Frontend,AMFAR-36,10418,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:15 AM,26/may/26 10:16 AM,,,,0,"* Crear módulo pagos
* Mostrar estados de pago
* Mostrar alertas
* Modificar estado
* Mostrar historial pagos",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,10800,10800,,0 %,10800,10800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61885106,,,,,,,,,,,,,,,,0|i000xz:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:15 AM,10397,AMFAR-15,HU-09 Gestión automática de pagos
Backend,AMFAR-35,10417,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:15 AM,26/may/26 10:15 AM,,,,0,"* Crear tabla pagos
* Generar pago automático
* Crear lógica de vencimientos
* Generar pagos periódicos
* Crear alertas internas
* Actualizar estados de pago
* Mantener historial",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,18000,18000,,0 %,18000,18000,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a4b2a38,,,,,,,,,,,,,,,,0|i000xr:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:15 AM,10397,AMFAR-15,HU-09 Gestión automática de pagos
Frontend,AMFAR-34,10416,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:14 AM,26/may/26 10:15 AM,,,,0,"* Crear formulario inscripción
* Seleccionar alumno
* Seleccionar horarios flexibles
* Seleccionar instrumento
* Seleccionar profesor
* Mostrar conflictos en tiempo real
* Mostrar monto calculado
* Mostrar disponibilidad",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,18000,18000,,0 %,18000,18000,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@71e9ea48,,,,,,,,,,,,,,,,0|i000xj:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:14 AM,10396,AMFAR-14,HU-08 Registro completo de inscripción académica
Backend,AMFAR-33,10415,Subtarea,Tareas por hacer,AMFAR,Academia de Música Fernando Arduz Ruiz,software,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,,Medium,,,,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,26/may/26 10:14 AM,26/may/26 10:15 AM,,,,0,"* Crear tabla INSCRIPCION
* Crear tabla INSCRIPCION_CLASE
* Crear endpoints inscripción
* Implementar validación de conflictos
* Validar profesor disponible
* Validar instrumento disponible
* Validar horarios permitidos
* Calcular monto automáticamente
* Generar clases automáticamente
* Validar profesor activo",,Sergio Villarrubia Arduz,712020:7e31afc4-bb01-4c80-a2f0-b3453a7c5d0c,28800,28800,,0 %,28800,28800,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@52d4c1ff,,,,,,,,,,,,,,,,0|i000xb:,,,,,,,,,,,,,,,,Por hacer,26/may/26 10:14 AM,10396,AMFAR-14,HU-08 Registro completo de inscripción académica
